"No.","Time","Source","Destination","Protocol","Length","Info"
"1427","19.716958","216.239.38.120","192.168.43.76","QUIC","1292","Protected Payload (KP0)"
"1428","19.717246","216.239.38.120","192.168.43.76","QUIC","664","Protected Payload (KP0)"
"1429","19.719036","192.168.43.76","216.239.38.120","QUIC","1292","Handshake, DCID=cb92b3a66a3bca60"
"1430","19.720886","192.168.43.76","216.239.38.120","QUIC","75","Protected Payload (KP0), DCID=cb92b3a66a3bca60"
"1431","19.734799","216.239.38.120","192.168.43.76","QUIC","68","Protected Payload (KP0)"
"1432","19.740753","216.239.38.120","192.168.43.76","QUIC","68","Protected Payload (KP0)"
"1433","19.766307","216.239.38.120","192.168.43.76","QUIC","134","Protected Payload (KP0)"
"1434","19.792824","192.168.43.76","216.239.38.120","QUIC","75","Protected Payload (KP0), DCID=d3021a256968b40f"
"1435","19.795356","216.239.38.120","192.168.43.76","QUIC","134","Protected Payload (KP0)"
"1436","19.822688","192.168.43.76","216.239.38.120","QUIC","75","Protected Payload (KP0), DCID=cb92b3a66a3bca60"
"1437","20.212252","192.168.43.76","142.251.10.136","UDP","1285","63257  >  443 Len=1243"
"1438","20.212608","192.168.43.76","142.251.10.136","UDP","118","63257  >  443 Len=76"
"1439","20.300520","142.251.10.136","192.168.43.76","UDP","74","443  >  63257 Len=32"
"1440","20.309597","142.251.10.136","192.168.43.76","UDP","490","443  >  63257 Len=448"
"1441","20.309777","142.251.10.136","192.168.43.76","UDP","311","443  >  63257 Len=269"
"1442","20.310477","192.168.43.76","142.251.10.136","UDP","81","63257  >  443 Len=39"
"1443","20.322267","192.168.43.76","142.251.10.136","UDP","75","63257  >  443 Len=33"
"1444","20.360423","142.251.10.136","192.168.43.76","UDP","68","443  >  63257 Len=26"
"1445","20.655788","192.168.43.76","216.239.32.116","TCP","55","49592  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1 [TCP segment of a reassembled PDU]"
"1446","20.759139","216.239.32.116","192.168.43.76","TCP","54","443  >  49592 [ACK] Seq=1 Ack=2 Win=161 Len=0"
